customer_id,customer_name,gender,age,location_id,signup_date,customer_segment
10001,Kiran Sharma,Other,51.0,37,2022-01-25,Regular
10002,Aarav Sharma,Male,57.0,83,2024-02-01,Premium
10003,Aanya Sharma,Female,58.0,1,2025-06-09,Regular
10004,Ananya Patel,Female,28.0,90,2025-12-07,Regular
10005,Vihaan Patel,Male,38.0,55,2023-04-13,Regular
10006,Aditi Joshi,Female,43.0,15,2022-03-12,Regular
10007,Aditya Joshi,Male,64.0,31,2022-09-02,Regular
10008,Diya Iyer,Female,19.0,56,2023-06-29,Premium
10009,Arjun Iyer,Male,40.0,32,2023-12-11,VIP
10010,Kabir Deshmukh,Male,28.0,11,2023-07-17,Regular
10011,Isha Deshmukh,Female,27.0,67,2022-05-25,VIP
10012,Rohan Arora,Male,54.0,68,2023-06-29,Regular
10013,Rahul Singh,Male,27.0,12,2023-04-09,Regular
10014,Aman Malhotra,Male,56.0,29,2024-02-20,Premium
10015,Kunal Saxena,Male,65.0,25,2022-05-07,Regular
10016,Priya Arora,Female,55.0,66,2025-06-18,Regular
10017,Neha Singh,Female,26.0,74,2023-10-30,Regular
10018,Nikhil Das,Male,24.0,73,2023-05-24,Premium
10019,Riya Malhotra,Female,38.0,94,2025-12-21,Regular
10020,Vivek Rao,Male,44.0,77,2025-04-06,Premium
10021,Sneha Saxena,Female,55.0,33,2022-08-07,Regular
10022,Ritvik Tiwari,Male,38.0,11,2022-08-23,Premium
10023,Yash Kumar,Male,26.0,62,2022-01-04,Regular
10024,Sahil Bansal,Male,65.0,92,2024-06-16,Regular
10025,Kavya Das,Female,61.0,98,2023-07-22,Regular
10026,Varun Yadav,Male,49.0,24,2023-08-24,Regular
10027,Manish Chatterjee,Male,51.0,24,2024-03-26,Regular
10028,Meera Rao,Female,62.0,4,2024-05-12,Regular
10029,Nisha Tiwari,Female,40.0,15,2022-01-02,Regular
10030,Ankit Khan,Male,24.0,56,2022-06-22,Regular
10031,Pooja Kumar,Female,47.0,55,2025-06-16,VIP
10032,Simran Bansal,Female,39.0,38,2026-03-06,Regular
10033,Rajat Pandey,Male,56.0,31,2025-09-01,Regular
10034,Shreya Yadav,Female,55.0,83,2025-12-20,Regular
10035,Mohit Jain,Male,40.0,47,2024-01-12,Regular
10036,Tanya Chatterjee,Female,35.0,81,2025-08-15,Regular
10037,Akash Mishra,Male,38.0,97,2025-11-12,Premium
10038,Avni Khan,Female,48.0,32,2025-11-29,Regular
10039,Harsh Nair,Male,48.0,21,2022-08-28,Regular
10040,Dev Kulkarni,Male,42.0,96,2022-08-23,Regular
10041,Mahi Pandey,Female,43.0,64,2023-10-07,Regular
10042,Ayush Sethi,Male,65.0,30,2024-03-16,Regular
10043,Radhika Jain,Female,30.0,63,2026-03-14,VIP
10044,Aman Patel,Other,NULL,52,2023-05-24,Regular
10045,Sakshi Mishra,Female,56.0,91,2025-08-23,Regular
10046,Dhruv Verma,Male,62.0,26,2025-11-20,Premium
10047,Muskan Nair,Female,47.0,100,2026-03-25,Premium
10048,Ishaan Shah,Male,37.0,94,2022-10-31,Premium
10049,Rishi Chauhan,Male,34.0,19,2023-01-23,Premium
10050,Palak Kulkarni,Female,40.0,17,2022-12-18,Regular
